市区町丁,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
新宿区上落合１丁目,1,0,0,0,0,0,0,0,1,2,1,1,1,0,0,0,3,0,1,0,1,0,0,0
新宿区上落合２丁目,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,2,0,1
新宿区上落合３丁目,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,0,1,0,0,1,1,0
新宿区下宮比町,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
新宿区下落合１丁目,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,0,1,0,0,0
新宿区下落合２丁目,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
新宿区下落合３丁目,0,0,0,0,0,1,0,0,0,2,1,2,0,0,0,1,1,0,0,0,1,0,0,0
新宿区下落合４丁目,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0
新宿区中井１丁目,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
新宿区中井２丁目,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
新宿区中落合１丁目,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,1,1
新宿区中落合２丁目,0,0,0,0,0,1,0,0,0,1,1,0,2,1,1,1,2,0,0,1,0,0,1,0
新宿区中落合３丁目,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,1,1,0,0,1,0,2,0
新宿区中落合４丁目,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
新宿区住吉町,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
新宿区余丁町,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,2,0,0,0,0
新宿区信濃町,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
新宿区内藤町,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,2,0,0,0,0,2,0
新宿区北新宿１丁目,0,1,0,0,0,1,0,1,0,0,1,0,1,1,1,4,2,2,1,2,1,2,3,1
新宿区北新宿２丁目,0,0,1,0,0,0,0,0,1,1,0,0,1,0,1,1,1,1,0,1,0,1,0,1
新宿区北新宿３丁目,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,2,0,0,0,2,0
新宿区北新宿４丁目,0,0,0,1,0,0,0,1,1,1,1,0,3,0,0,3,1,0,0,0,0,2,2,0
新宿区喜久井町,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
新宿区大久保１丁目,1,0,2,1,0,0,1,0,0,2,0,2,4,0,1,1,0,1,3,0,1,0,0,1
新宿区大久保２丁目,0,1,0,2,1,0,2,0,1,2,3,0,1,0,1,1,2,2,1,2,3,2,7,1
新宿区大久保３丁目,0,2,0,1,0,0,0,0,1,2,0,0,0,3,0,2,3,2,0,0,2,1,1,2
新宿区大京町,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,2,0,0,0,1,0
新宿区天神町,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
新宿区富久町,0,2,0,0,0,0,1,0,0,1,0,1,1,0,0,2,1,2,1,0,0,1,2,1
新宿区山吹町,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
新宿区岩戸町,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
新宿区左門町,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
新宿区市谷加賀町２丁目,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
新宿区市谷台町,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
新宿区市谷田町１丁目,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
新宿区市谷田町２丁目,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
新宿区市谷砂土原町２丁目,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
新宿区市谷砂土原町３丁目,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
新宿区市谷薬王寺町,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
新宿区市谷長延寺町,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
新宿区弁天町,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0
新宿区戸山１丁目,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
新宿区戸山２丁目,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,0,1,1,0,0,1,1,0,0
新宿区戸山３丁目,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
新宿区払方町,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
新宿区揚場町,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
新宿区新宿１丁目,0,2,1,0,0,0,0,0,2,0,0,1,0,1,3,1,3,1,0,1,1,0,1,0
新宿区新宿２丁目,2,0,2,1,1,1,1,0,0,1,1,0,1,2,0,0,2,2,2,0,0,4,2,1
新宿区新宿３丁目,1,0,1,1,0,1,2,2,5,2,3,1,3,6,2,3,0,5,2,7,5,1,2,5
新宿区新宿４丁目,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
新宿区新宿５丁目,1,1,0,0,1,0,0,0,4,0,0,0,1,2,0,3,1,2,0,1,2,0,4,0
新宿区新宿６丁目,1,0,1,0,0,0,0,0,1,2,0,1,0,0,1,2,1,2,1,0,1,1,0,0
新宿区新宿７丁目,1,0,0,0,0,0,1,1,1,0,3,1,1,0,0,1,1,0,4,0,0,1,2,0
新宿区新小川町,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
新宿区早稲田町,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
新宿区早稲田鶴巻町,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0
新宿区横寺町,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
新宿区歌舞伎町１丁目,2,4,1,3,1,0,2,2,6,5,4,0,4,0,3,4,4,4,11,7,4,4,3,2
新宿区歌舞伎町２丁目,7,5,4,4,4,1,2,1,1,1,2,0,6,3,0,0,4,5,3,3,3,2,3,5
新宿区河田町,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,2,0,0
新宿区片町,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
新宿区白銀町,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
新宿区百人町１丁目,2,1,1,1,0,1,0,1,1,0,0,5,1,0,1,0,2,5,2,1,1,2,2,0
新宿区百人町２丁目,1,2,2,1,0,0,0,1,1,0,4,2,1,2,4,4,2,2,3,0,1,3,1,4
新宿区百人町３丁目,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0
新宿区百人町４丁目,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,1,0,0,0,0,1
新宿区矢来町,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
新宿区神楽坂３丁目,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
新宿区神楽坂６丁目,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
新宿区神楽河岸,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
新宿区箪笥町,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
新宿区舟町,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0
新宿区若松町,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,0,0
新宿区若葉２丁目,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
新宿区若葉３丁目,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
新宿区荒木町,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1
新宿区西新宿１丁目,1,0,0,1,0,0,0,2,7,4,4,1,5,5,4,2,2,1,1,1,2,1,2,2
新宿区西新宿２丁目,0,0,1,0,0,0,0,0,2,1,1,1,0,1,1,1,0,1,1,0,0,0,0,3
新宿区西新宿３丁目,2,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,1,0,2,0,0,1,0
新宿区西新宿４丁目,0,0,0,0,0,0,0,0,1,0,1,1,2,0,0,1,0,1,7,1,4,3,1,2
新宿区西新宿５丁目,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,4,0,1,0,0,0
新宿区西新宿６丁目,1,1,0,0,2,0,1,1,0,0,1,0,0,1,0,1,1,1,1,0,1,0,0,2
新宿区西新宿７丁目,1,2,0,0,1,0,0,0,2,1,2,0,0,1,1,1,2,1,1,0,1,4,1,1
新宿区西新宿８丁目,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,2,0,1,0,0,0
新宿区西早稲田１丁目,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,1,1,0,1,1,0,0,1,0
新宿区西早稲田２丁目,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,1,0,0,3
新宿区西早稲田３丁目,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,2,0,1,1
新宿区西落合１丁目,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,2,2,2,0,0,2,1,0,0
新宿区西落合２丁目,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0
新宿区西落合３丁目,1,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,3,0,0,1,0,0,0
新宿区西落合４丁目,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
新宿区霞ヶ丘町,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
新宿区須賀町,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
新宿区馬場下町,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
新宿区高田馬場１丁目,0,0,1,0,1,0,0,0,1,0,1,0,2,1,2,0,0,0,0,1,2,2,0,2
新宿区高田馬場２丁目,1,0,0,0,0,0,0,0,1,0,3,0,0,1,0,2,2,0,3,0,1,0,1,0
新宿区高田馬場３丁目,0,0,1,0,0,1,0,3,2,0,0,1,0,0,1,1,1,2,1,2,1,2,2,0
新宿区高田馬場４丁目,0,1,0,0,0,0,0,0,1,1,1,0,2,0,1,1,2,1,1,1,0,1,1,0
渋谷区上原１丁目,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
渋谷区上原２丁目,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
渋谷区上原３丁目,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
渋谷区代々木１丁目,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,3,1,0
渋谷区代々木２丁目,0,0,0,0,0,0,0,0,2,0,1,0,1,0,2,2,1,0,1,1,0,0,1,2
渋谷区代々木３丁目,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,3,0,1,0,0,3
渋谷区代々木４丁目,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,1,1,1,1,0,0
渋谷区代々木５丁目,0,1,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0
渋谷区代官山町,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0
渋谷区元代々木町,0,0,0,0,0,0,0,0,1,1,0,1,2,0,0,0,0,1,0,0,1,0,1,1
渋谷区円山町,1,3,1,2,0,0,0,0,0,0,0,1,0,0,1,2,2,0,0,1,1,0,1,1
渋谷区初台１丁目,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,1,0,0,0,2,1
渋谷区初台２丁目,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
渋谷区南平台町,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
渋谷区大山町,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
渋谷区宇田川町,1,2,0,0,0,0,0,1,0,0,2,2,2,0,1,2,2,1,1,1,2,2,1,0
渋谷区広尾１丁目,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
渋谷区広尾２丁目,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
渋谷区広尾４丁目,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0
渋谷区広尾５丁目,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
渋谷区恵比寿南１丁目,0,0,1,0,0,0,0,0,2,0,1,0,1,1,0,0,0,0,1,1,0,0,0,0
渋谷区恵比寿西１丁目,0,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,2,1,0,1,1,1,0
渋谷区恵比寿西２丁目,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
渋谷区恵比寿１丁目,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,2,0,1
渋谷区恵比寿２丁目,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
渋谷区恵比寿３丁目,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,1
渋谷区恵比寿４丁目,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0
渋谷区本町１丁目,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,1,0,0
渋谷区本町２丁目,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,1,1,0,1
渋谷区本町３丁目,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,1,1,0,0,0,0,0,1
渋谷区本町４丁目,0,0,2,1,0,0,0,0,0,1,0,0,1,0,0,1,0,1,2,0,0,0,0,1
渋谷区本町５丁目,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,3,0,1,2,1,1,0,1
渋谷区本町６丁目,0,0,0,0,0,0,1,1,0,0,1,0,1,0,1,0,0,0,1,0,2,0,0,0
渋谷区東１丁目,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,3,0,1,0,0
渋谷区東２丁目,1,0,0,0,0,0,0,0,1,0,1,0,2,0,0,0,0,1,1,0,0,0,2,2
渋谷区東３丁目,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
渋谷区桜丘町,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,1,0,1,2,0,0
渋谷区渋谷１丁目,1,2,0,1,0,1,1,1,5,0,0,1,0,0,2,0,1,1,1,2,1,2,1,2
渋谷区渋谷２丁目,1,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,0,0,1,1,1,1,1,0
渋谷区渋谷３丁目,1,2,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,3,2,0,0,0,0,0
渋谷区渋谷４丁目,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
